,pairs1,pairs2,residual,Pvalue,correlation
0,000001.XSHE,000661.XSHE,-4.32977361293,0.00229988433646,-0.66957876786
1,000001.XSHE,000709.XSHE,-3.47856204209,0.0343437256393,0.915895659432
2,000001.XSHE,002555.XSHE,-3.3800914708,0.0446103154722,0.762895734097
3,000001.XSHE,002601.XSHE,-3.67561006553,0.0196907866503,0.710995117055
4,000001.XSHE,300015.XSHE,-4.47870319489,0.00132716253049,-0.798238557479
5,000001.XSHE,300122.XSHE,-3.82865253976,0.0124091142333,-0.700387617381
6,000001.XSHE,300144.XSHE,-4.51052233724,0.00117680170539,-0.781251857633
7,000001.XSHE,600000.XSHG,-4.60822830062,0.000808635651564,0.939782208265
8,000001.XSHE,600009.XSHG,-4.45208226148,0.00146652936129,-0.75754770835
9,000001.XSHE,600157.XSHG,-3.40010296753,0.0423390347902,0.755020126512
10,000001.XSHE,600271.XSHG,-3.62588389154,0.0227513449842,-0.666599635059
11,000001.XSHE,600309.XSHG,-3.48103644481,0.0341139003523,-0.62536388335
12,000001.XSHE,600332.XSHG,-3.44897176638,0.0371950315505,-0.61801803405
13,000001.XSHE,600436.XSHG,-3.94352962468,0.00862952576484,-0.771558214712
14,000001.XSHE,600482.XSHG,-4.07034072225,0.00568578427932,0.763182319757
15,000001.XSHE,600583.XSHG,-3.54658209657,0.0284834158692,0.749615519398
16,000001.XSHE,600760.XSHG,-3.51299411766,0.0312607427972,-0.628617526039
17,000001.XSHE,601088.XSHG,-3.82778382039,0.0124425755454,0.892796483155
18,000001.XSHE,601111.XSHG,-3.57145924173,0.0265649346339,0.683111048006
19,000001.XSHE,601138.XSHG,-3.53728876184,0.0292299084226,-0.707625771055
20,000001.XSHE,601166.XSHG,-3.84066061039,0.0119547027281,0.9235455749
21,000001.XSHE,601328.XSHG,-3.34065885352,0.0493821888413,0.930354714698
22,000001.XSHE,601818.XSHG,-3.6947802587,0.01861044202,0.968735687485
23,000001.XSHE,601888.XSHG,-4.09680745395,0.00520060012367,-0.744847665973
24,000001.XSHE,601898.XSHG,-3.5745338663,0.0263357090831,0.88942317907
25,000001.XSHE,601899.XSHG,-3.68120824324,0.0193697855616,0.823349677408
26,000001.XSHE,603288.XSHG,-3.91930578687,0.00932742632903,-0.723722125227
27,000002.XSHE,000415.XSHE,-3.35542015789,0.0475488046564,0.664820712155
28,000002.XSHE,000630.XSHE,-3.6588662591,0.0206787016304,0.907285580114
29,000002.XSHE,000728.XSHE,-3.35274841034,0.0478764103517,0.925881345112
30,000002.XSHE,000776.XSHE,-3.65476934588,0.0209268914823,0.941662323308
31,000002.XSHE,000783.XSHE,-3.623953436,0.022878041678,0.927620247959
32,000002.XSHE,000786.XSHE,-3.34035349245,0.0494207215665,0.751819326729
33,000002.XSHE,002007.XSHE,-3.6931059079,0.0187026924009,-0.759209588286
34,000002.XSHE,002032.XSHE,-4.28091569914,0.00274147457717,-0.691210992845
35,000002.XSHE,002085.XSHE,-3.81209009112,0.0130610090704,0.903948992839
36,000002.XSHE,002271.XSHE,-3.69762176311,0.0184547954819,0.833665525487
37,000002.XSHE,002456.XSHE,-3.35233004062,0.0479278786,0.644036773778
38,000002.XSHE,002460.XSHE,-3.59352632049,0.024957084826,0.60563078794
39,000002.XSHE,002466.XSHE,-3.51463277067,0.031120085087,0.614854980923
40,000002.XSHE,002468.XSHE,-4.15508886821,0.00426233039879,0.812855884171
41,000002.XSHE,002555.XSHE,-4.70359239485,0.00055589378274,0.910720687001
42,000002.XSHE,002558.XSHE,-3.78158055569,0.0143416518258,0.901128907242
43,000002.XSHE,002601.XSHE,-4.18643457803,0.00382428926118,0.795688215701
44,000002.XSHE,002625.XSHE,-3.65982245715,0.0206211451506,0.781843869042
45,000002.XSHE,002925.XSHE,-4.96585084858,0.000190158140771,0.734010371906
46,000002.XSHE,300015.XSHE,-3.64878039302,0.0212943570923,-0.742210532784
47,000002.XSHE,300024.XSHE,-3.35528169376,0.047565737302,0.623464458989
48,000002.XSHE,300033.XSHE,-3.71242368012,0.0176622696882,0.885701097345
49,000002.XSHE,300122.XSHE,-3.60893673506,0.0238846035562,-0.686800216323
50,000002.XSHE,300144.XSHE,-3.58561614042,0.0255235282348,-0.698159394557
51,000002.XSHE,300251.XSHE,-4.00119649036,0.0071531488193,0.785142721079
52,000002.XSHE,600000.XSHG,-3.71300962896,0.0176315193978,0.905343668452
53,000002.XSHE,600009.XSHG,-3.78977146045,0.0139873805334,-0.708781064904
54,000002.XSHE,600010.XSHG,-4.25387173677,0.00301829959531,0.922141716324
55,000002.XSHE,600015.XSHG,-3.59199813922,0.0250656652752,0.941011460031
56,000002.XSHE,600018.XSHG,-3.72128892034,0.017202011463,0.842213604136
57,000002.XSHE,600023.XSHG,-3.53144915082,0.0297074770895,0.837666344696
58,000002.XSHE,600025.XSHG,-3.7459872274,0.0159747514436,0.941210254829
59,000002.XSHE,600029.XSHG,-4.32444245192,0.00234465555735,0.835782902064
60,000002.XSHE,600048.XSHG,-3.82629877797,0.0124999618473,0.925163965243
61,000002.XSHE,600089.XSHG,-3.7657142907,0.0150504938106,0.943723936143
62,000002.XSHE,600153.XSHG,-3.84291332844,0.0118711215184,0.873944636476
63,000002.XSHE,600157.XSHG,-4.2687595855,0.00286287595873,0.898868779797
64,000002.XSHE,600170.XSHG,-3.68694665035,0.0190454896493,0.876192012593
65,000002.XSHE,600177.XSHG,-3.97320695766,0.0078386262816,0.925255906139
66,000002.XSHE,600271.XSHG,-4.06115196799,0.00586361407067,-0.70064155879
67,000002.XSHE,600332.XSHG,-3.37377364211,0.0453480606956,-0.651065991329
68,000002.XSHE,600390.XSHG,-4.11087190578,0.00495839039488,0.944184415944
69,000002.XSHE,600482.XSHG,-3.55951848816,0.0274714818696,0.692032288558
70,000002.XSHE,600549.XSHG,-3.47580978704,0.0346008951855,0.872959811253
71,000002.XSHE,600705.XSHG,-3.51817714202,0.0308176869251,0.833317379106
72,000002.XSHE,600837.XSHG,-3.36945050808,0.0458586895434,0.932948750142
73,000002.XSHE,600919.XSHG,-3.37537686789,0.045159897411,0.924763359585
74,000002.XSHE,600958.XSHG,-4.19463552786,0.00371669860656,0.941644962074
75,000002.XSHE,600977.XSHG,-3.57209387175,0.0265174806122,0.631969009457
76,000002.XSHE,601009.XSHG,-3.79070137117,0.0139476531354,0.867259069463
77,000002.XSHE,601066.XSHG,-3.73182200435,0.0166688577215,-0.762151776837
78,000002.XSHE,601111.XSHG,-5.04159927077,0.00013795605267,0.865680739067
79,000002.XSHE,601138.XSHG,-3.84562625214,0.0117711553257,-0.735274305692
80,000002.XSHE,601155.XSHG,-3.66715278718,0.0201845196966,0.895011971859
81,000002.XSHE,601216.XSHG,-4.23006787826,0.00328300673173,0.865213737214
82,000002.XSHE,601238.XSHG,-3.83400452878,0.0122047226567,0.93765911185
83,000002.XSHE,601360.XSHG,-4.67972880962,0.000611027236007,0.880452129306
84,000002.XSHE,601377.XSHG,-3.53569941137,0.0293592330373,0.92398104794
85,000002.XSHE,601899.XSHG,-3.70658108986,0.0179714632121,0.934350061111
86,000002.XSHE,601989.XSHG,-3.94978140219,0.00845719312869,0.937268284269
87,000002.XSHE,601992.XSHG,-3.39196927821,0.0432502994628,0.923399742282
88,000002.XSHE,601997.XSHG,-5.19256352525,7.17466295029e-05,0.935698388031
89,000002.XSHE,603259.XSHG,-3.55878584965,0.02752795735,-0.80371542894
90,000002.XSHE,603288.XSHG,-3.84197232019,0.0119059717909,-0.744303877377
91,000063.XSHE,001979.XSHE,-3.49152777111,0.0331538592849,0.843649447576
92,000063.XSHE,002468.XSHE,-3.49669036971,0.0326899096457,0.941738498484
93,000063.XSHE,002601.XSHE,-3.38670099325,0.043849202988,0.862980604726
94,000063.XSHE,600438.XSHG,-3.87859321818,0.0106148701402,0.899090013241
95,000063.XSHE,600705.XSHG,-3.49143896708,0.0331618884618,0.9063376652
96,000063.XSHE,600837.XSHG,-3.74090627628,0.0162207433152,0.872845998745
97,000063.XSHE,601012.XSHG,-4.0299188078,0.00650642729855,0.905533943007
98,000063.XSHE,601066.XSHG,-3.75811862379,0.0154006372777,-0.951851425895
99,000063.XSHE,601111.XSHG,-3.41966370368,0.0402129045519,0.894240237692
100,000063.XSHE,601138.XSHG,-4.65326371586,0.000678175335761,-0.874141050839
101,000063.XSHE,601878.XSHG,-4.02997414195,0.00650523416343,0.905530863834
102,000069.XSHE,000402.XSHE,-4.37734498814,0.00193398548774,0.982287437123
103,000069.XSHE,000408.XSHE,-3.78341614354,0.0142615777345,0.808652816837
104,000069.XSHE,000413.XSHE,-3.78172451635,0.0143353574963,0.908959422964
105,000069.XSHE,000630.XSHE,-3.43608982459,0.0384971884271,0.944427627018
106,000069.XSHE,000786.XSHE,-4.25462550479,0.00301024755064,0.886234156598
107,000069.XSHE,000839.XSHE,-3.45443622981,0.0366539624397,0.950005125408
108,000069.XSHE,002007.XSHE,-3.34936571162,0.0482938630772,-0.745024757284
109,000069.XSHE,002081.XSHE,-3.46030715864,0.036080048664,0.969369077672
110,000069.XSHE,002085.XSHE,-4.10772154017,0.00501173343835,0.924768920573
111,000069.XSHE,002202.XSHE,-5.35438164422,3.48847907391e-05,0.871769352339
112,000069.XSHE,002236.XSHE,-3.48282776485,0.0339483337576,0.879546731467
113,000069.XSHE,002271.XSHE,-5.42312533778,2.55231651223e-05,0.89954954343
114,000069.XSHE,002294.XSHE,-4.24532581616,0.00311098686273,0.769883421974
115,000069.XSHE,002460.XSHE,-3.48315762583,0.033917919919,0.720764185878
116,000069.XSHE,002466.XSHE,-3.67240800296,0.0198764701386,0.776930961318
117,000069.XSHE,002468.XSHE,-3.63131286042,0.022398289678,0.804853552199
118,000069.XSHE,002508.XSHE,-3.37804684902,0.0448479716143,0.962388323248
119,000069.XSHE,002625.XSHE,-3.56790389616,0.0268321337859,0.860703787203
120,000069.XSHE,002797.XSHE,-3.82037015686,0.0127314077972,0.963917704337
121,000069.XSHE,002925.XSHE,-4.59889339846,0.00083847306866,0.773192288418
122,000069.XSHE,300251.XSHE,-4.49075633673,0.00126821272292,0.884850973169
123,000069.XSHE,600004.XSHG,-3.48915721705,0.0333687578213,0.828083403507
124,000069.XSHE,600018.XSHG,-3.56054412194,0.0273925876685,0.895566616249
125,000069.XSHE,600019.XSHG,-3.67790285521,0.0195587611238,0.819438497296
126,000069.XSHE,600029.XSHG,-4.75652172705,0.000449884373132,0.916461262147
127,000069.XSHE,600115.XSHG,-3.63433893343,0.02220356625,0.912919129397
128,000069.XSHE,600153.XSHG,-4.37151209103,0.00197575040638,0.946379722873
129,000069.XSHE,600176.XSHG,-3.49299477345,0.0330214592095,0.926619735732
130,000069.XSHE,600188.XSHG,-3.65784933918,0.0207400663652,0.92763133739
131,000069.XSHE,600221.XSHG,-3.36501470349,0.0463875690289,0.774791429816
132,000069.XSHE,600233.XSHG,-3.3895698732,0.0435222165162,0.852078337132
133,000069.XSHE,600362.XSHG,-5.5642450744,1.32911690155e-05,0.974083608076
134,000069.XSHE,600703.XSHG,-5.88885079399,2.80904928662e-06,0.843858641848
135,000069.XSHE,600704.XSHG,-3.39448211788,0.0429670445421,0.94270365181
136,000069.XSHE,600816.XSHG,-3.41557058124,0.0406502551418,0.921848524017
137,000069.XSHE,601018.XSHG,-4.19519564732,0.00370945241118,0.900037522878
138,000069.XSHE,601066.XSHG,-4.40883736363,0.00172229165868,-0.789489616696
139,000069.XSHE,601108.XSHG,-3.90484464357,0.00976777045989,0.963808660687
140,000069.XSHE,601111.XSHG,-4.89394559369,0.000256716168845,0.907663741913
141,000069.XSHE,601138.XSHG,-3.50136152545,0.0322748828896,-0.696116865692
142,000069.XSHE,601216.XSHG,-3.4150065305,0.0407108346853,0.890947589257
143,000069.XSHE,601360.XSHG,-5.00903169508,0.000158460673149,0.865437330412
144,000069.XSHE,601628.XSHG,-3.41979791366,0.0401986311266,0.942759499043
145,000069.XSHE,601633.XSHG,-3.36778213087,0.046057020496,0.899589083225
146,000069.XSHE,601828.XSHG,-4.21092583082,0.00351116661596,0.948546167636
147,000069.XSHE,601899.XSHG,-3.52915658859,0.029896776712,0.89504337218
148,000069.XSHE,601919.XSHG,-3.99887698814,0.00720782701857,0.959830012515
149,000069.XSHE,601997.XSHG,-4.38961328145,0.00184879996023,0.940893171619
150,000069.XSHE,601998.XSHG,-3.5860041218,0.0254954892711,0.883624620724
151,000069.XSHE,603799.XSHG,-3.69821408426,0.0184224941023,0.706567942518
152,000069.XSHE,603833.XSHG,-4.4353286921,0.00156110229784,0.833540193301
153,000100.XSHE,000786.XSHE,-3.83525558372,0.0121573783416,0.921272722464
154,000100.XSHE,000839.XSHE,-3.40101294861,0.0422380870601,0.966920915341
155,000100.XSHE,002271.XSHE,-4.25907953491,0.00296307001051,0.955243588015
156,000100.XSHE,002456.XSHE,-4.15894721591,0.0042060407979,0.902652959586
157,000100.XSHE,002460.XSHE,-3.85969579654,0.0112646318106,0.879629271687
158,000100.XSHE,002466.XSHE,-3.60850387066,0.0239141765749,0.875787868567
159,000100.XSHE,002508.XSHE,-3.39745789839,0.0426336051036,0.851092357273
160,000100.XSHE,002925.XSHE,-4.74737837773,0.000466716509616,0.925175071707
161,000100.XSHE,300124.XSHE,-3.40595209344,0.0416936633113,0.715704377814
162,000100.XSHE,600018.XSHG,-3.51983647133,0.0306769785512,0.929955207943
163,000100.XSHE,600068.XSHG,-3.52651507331,0.0301161646172,0.903773463683
164,000100.XSHE,600176.XSHG,-3.37752109891,0.044909251618,0.931723372504
165,000100.XSHE,600233.XSHG,-3.58538262482,0.0255404169241,0.938849445558
166,000100.XSHE,600522.XSHG,-4.49895833001,0.00122950508494,0.975788518146
167,000100.XSHE,600703.XSHG,-4.11889175146,0.00482492153568,0.952847810885
168,000100.XSHE,600739.XSHG,-3.38588709927,0.0439423392944,0.93899847894
169,000100.XSHE,601018.XSHG,-3.53580418355,0.029350692763,0.950569039947
170,000100.XSHE,601229.XSHG,-3.52787701688,0.0300028791971,-0.675365331073
171,000100.XSHE,603799.XSHG,-3.93304589117,0.0089256010647,0.857423586238
172,000100.XSHE,603993.XSHG,-3.42590451765,0.0395536559153,0.928033073527
173,000157.XSHE,000786.XSHE,-3.536434778,0.029299336032,0.875475927075
174,000157.XSHE,002310.XSHE,-3.36320445993,0.0466048496913,0.877579841267
175,000157.XSHE,002415.XSHE,-3.39134172519,0.0433212811786,0.859615391315
176,000157.XSHE,002460.XSHE,-3.44273948715,0.0378203134578,0.763422198409
177,000157.XSHE,002466.XSHE,-3.63611484031,0.0220899736545,0.809084612313
178,000157.XSHE,002925.XSHE,-3.69289950474,0.0187140920398,0.740339897472
179,000157.XSHE,300124.XSHE,-3.68752407279,0.0190131215319,0.69610153834
180,000157.XSHE,300251.XSHE,-3.60408474051,0.0242179019316,0.855494688652
181,000157.XSHE,600004.XSHG,-3.55570612833,0.027766447299,0.82036575875
182,000157.XSHE,600398.XSHG,-3.67697317429,0.0196122015718,0.662027110848
183,000157.XSHE,600518.XSHG,-3.43407197783,0.0387045869405,0.650556205952
184,000157.XSHE,601229.XSHG,-4.05414402115,0.00600261405097,-0.60508854327
185,000157.XSHE,603799.XSHG,-3.63531728117,0.0221409255871,0.778395492725
186,000157.XSHE,603986.XSHG,-3.71027838266,0.017775254824,0.805470593891
187,000166.XSHE,000415.XSHE,-3.49184378137,0.0331253007231,0.613572088973
188,000166.XSHE,000630.XSHE,-3.55896506178,0.0275141335885,0.899569256698
189,000166.XSHE,000671.XSHE,-4.24988520359,0.00306121586798,0.932319913343
190,000166.XSHE,000728.XSHE,-3.73368518094,0.0165760739687,0.957736728579
191,000166.XSHE,000776.XSHE,-3.97198669759,0.00786981396264,0.951333078494
192,000166.XSHE,000783.XSHE,-3.83047145265,0.0123393119585,0.947400759408
193,000166.XSHE,000876.XSHE,-4.50337690202,0.00120911240287,0.913332031972
194,000166.XSHE,000983.XSHE,-4.24813181852,0.00308026876923,0.866687807778
195,000166.XSHE,002007.XSHE,-4.30518666985,0.00251316082675,-0.663936710809
196,000166.XSHE,002032.XSHE,-3.90533500641,0.00975253937392,-0.620204294552
197,000166.XSHE,002085.XSHE,-3.90947316848,0.00962484842793,0.851068880067
198,000166.XSHE,002142.XSHE,-4.19332977651,0.00373364134739,0.808085138225
199,000166.XSHE,002146.XSHE,-4.57754201695,0.000910645619943,0.928467426129
200,000166.XSHE,002468.XSHE,-3.47723416599,0.0344675992913,0.775959484429
201,000166.XSHE,002555.XSHE,-4.28975706491,0.00265617773694,0.884582377889
202,000166.XSHE,002558.XSHE,-4.39738293714,0.00179666578065,0.840222854012
203,000166.XSHE,002601.XSHE,-4.89674634995,0.000253753895529,0.796211858433
204,000166.XSHE,002673.XSHE,-3.48468709622,0.0337772009325,0.940120747045
205,000166.XSHE,002925.XSHE,-4.26876663923,0.00286280410019,0.715583801559
206,000166.XSHE,300015.XSHE,-3.61398830967,0.0235418111928,-0.661932984588
207,000166.XSHE,300033.XSHE,-3.65639156809,0.020828309817,0.919937773865
208,000166.XSHE,300144.XSHE,-3.53604638309,0.0293309585179,-0.613380001532
209,000166.XSHE,300251.XSHE,-3.70272903732,0.018177897439,0.78850858866
210,000166.XSHE,600000.XSHG,-3.60882494151,0.0238922381942,0.880232153177
211,000166.XSHE,600009.XSHG,-3.62337928899,0.0229158408103,-0.627008130237
212,000166.XSHE,600010.XSHG,-4.71746204651,0.000526040311395,0.899435242276
213,000166.XSHE,600016.XSHG,-3.47843026846,0.0343560015613,0.908139148781
214,000166.XSHE,600018.XSHG,-3.54387635979,0.0286990544544,0.828804465177
215,000166.XSHE,600019.XSHG,-4.10947934801,0.00498190555255,0.703744569263
216,000166.XSHE,600023.XSHG,-3.60924440652,0.023863602843,0.861093207679
217,000166.XSHE,600025.XSHG,-4.06976462849,0.00569678788873,0.939863221668
218,000166.XSHE,600029.XSHG,-4.14565469982,0.00440287723799,0.797245826436
219,000166.XSHE,600048.XSHG,-4.7097899369,0.0005423618589,0.879511595639
220,000166.XSHE,600050.XSHG,-3.35033264897,0.0481742296633,0.883197197706
221,000166.XSHE,600061.XSHG,-3.49422203749,0.0329110406817,0.91523819108
222,000166.XSHE,600068.XSHG,-3.64773729837,0.0213589281875,0.803935791826
223,000166.XSHE,600089.XSHG,-3.89189584504,0.0101777474646,0.942814971457
224,000166.XSHE,600153.XSHG,-3.69582103193,0.0185532999195,0.863383550204
225,000166.XSHE,600157.XSHG,-4.5869834209,0.000878041575807,0.856296683368
226,000166.XSHE,600170.XSHG,-4.76404718262,0.00043646247127,0.90388406793
227,000166.XSHE,600176.XSHG,-3.43639262941,0.0384661461517,0.872217160781
228,000166.XSHE,600188.XSHG,-3.50706407325,0.0317742909135,0.764292488793
229,000166.XSHE,600340.XSHG,-4.45516824879,0.00144970185563,0.898424395674
230,000166.XSHE,600362.XSHG,-3.42691242205,0.0394480397681,0.862368380103
231,000166.XSHE,600383.XSHG,-4.65809713085,0.000665415505177,0.930627795371
232,000166.XSHE,600390.XSHG,-4.10351804635,0.00508372219444,0.94527659728
233,000166.XSHE,600482.XSHG,-3.39907362046,0.0424534665997,0.692417276621
234,000166.XSHE,600489.XSHG,-3.42682750896,0.0394569285046,0.79217266475
235,000166.XSHE,600522.XSHG,-3.52887541794,0.0299200639924,0.846418393464
236,000166.XSHE,600606.XSHG,-4.95788593536,0.000196628899977,0.936331326592
237,000166.XSHE,600703.XSHG,-3.44746915531,0.0373449866849,0.744686608999
238,000166.XSHE,600705.XSHG,-3.79759327723,0.0136563146511,0.906032020696
239,000166.XSHE,600837.XSHG,-4.017919682,0.00676988255179,0.957784896881
240,000166.XSHE,600887.XSHG,-3.38943323899,0.0435377435482,0.650695399973
241,000166.XSHE,600919.XSHG,-4.17666552715,0.00395617189051,0.945673921523
242,000166.XSHE,600958.XSHG,-4.21144475321,0.00350479421989,0.948474999003
243,000166.XSHE,600999.XSHG,-3.8308493535,0.0123248535105,0.946662096535
244,000166.XSHE,601009.XSHG,-4.5621565878,0.000966217465108,0.875904767076
245,000166.XSHE,601012.XSHG,-4.35985794086,0.0020617118975,0.826548880916
246,000166.XSHE,601066.XSHG,-4.04173388914,0.00625611303381,-0.733252293018
247,000166.XSHE,601111.XSHG,-4.32637756823,0.00232831207642,0.821113203947
248,000166.XSHE,601138.XSHG,-4.82726801371,0.000337733814985,-0.734505619184
249,000166.XSHE,601155.XSHG,-4.38647984346,0.00187021974085,0.852590681916
250,000166.XSHE,601169.XSHG,-4.2709819732,0.00284031784541,0.924722114513
251,000166.XSHE,601211.XSHG,-3.56702963108,0.0268981907046,0.959750395324
252,000166.XSHE,601216.XSHG,-3.66747720844,0.020165383152,0.857400757646
253,000166.XSHE,601238.XSHG,-3.43852328282,0.0382483140837,0.882358849764
254,000166.XSHE,601328.XSHG,-3.36017238125,0.0469706715174,0.868578680824
255,000166.XSHE,601360.XSHG,-5.27206070578,5.04738467738e-05,0.836313810845
256,000166.XSHE,601377.XSHG,-3.53125478065,0.0297234866917,0.929318031214
257,000166.XSHE,601555.XSHG,-3.79032811279,0.0139635873842,0.962105893229
258,000166.XSHE,601600.XSHG,-3.89693509687,0.0100164046003,0.838921197281
259,000166.XSHE,601628.XSHG,-3.8096199976,0.0131607883632,0.91388613623
260,000166.XSHE,601668.XSHG,-3.67747149583,0.0195835409644,0.903667808917
261,000166.XSHE,601766.XSHG,-4.39631252975,0.00180376621837,0.917369779106
262,000166.XSHE,601878.XSHG,-3.51388459679,0.031184239434,0.926995862541
263,000166.XSHE,601899.XSHG,-4.47341609484,0.00135381869448,0.870748021452
264,000166.XSHE,601933.XSHG,-4.34926228365,0.00214285986048,0.888129828701
265,000166.XSHE,601985.XSHG,-3.9577075888,0.00824315268348,0.91960358023
266,000166.XSHE,601989.XSHG,-4.29913934174,0.00256834455967,0.928373853998
267,000166.XSHE,601992.XSHG,-3.743180224,0.0161102426654,0.90677311791
268,000166.XSHE,601998.XSHG,-3.89072629096,0.0102155237262,0.865171176405
269,000166.XSHE,603259.XSHG,-3.96032224691,0.00817362167422,-0.732070645976
270,000166.XSHE,603288.XSHG,-3.88587878012,0.0103734357585,-0.716444822972
271,000166.XSHE,603833.XSHG,-3.44987305014,0.0371053299983,0.631334340032
272,000333.XSHE,000786.XSHE,-3.47995801163,0.0342139059523,0.911655684332
273,000333.XSHE,002001.XSHE,-3.39371641251,0.0430531930821,0.909252211552
274,000333.XSHE,002050.XSHE,-4.51407237576,0.00116105046859,0.963362368425
275,000333.XSHE,002236.XSHE,-4.32056508164,0.00237772236353,0.948714812182
276,000333.XSHE,002294.XSHE,-3.37300702107,0.0454382650139,0.895492620085
277,000333.XSHE,002352.XSHE,-3.67388303887,0.019790746062,0.919374594322
278,000333.XSHE,002460.XSHE,-3.48763475335,0.0335073956801,0.84996358264
279,000333.XSHE,002466.XSHE,-4.19176404927,0.00375405070347,0.906566797911
280,000333.XSHE,002572.XSHE,-3.61523723108,0.0234577195639,0.946447380214
281,000333.XSHE,002625.XSHE,-3.60570964502,0.0241058380277,0.910033931199
282,000333.XSHE,300124.XSHE,-3.82170509842,0.0126789643735,0.785705586467
283,000333.XSHE,300251.XSHE,-4.10320318283,0.00508915223967,0.905462397147
284,000333.XSHE,300433.XSHE,-3.63340001182,0.0222638269345,0.924425839209
285,000333.XSHE,600004.XSHG,-3.48225273525,0.0340014078244,0.90744460577
286,000333.XSHE,600029.XSHG,-4.11156618319,0.00494670441941,0.936262772756
287,000333.XSHE,600066.XSHG,-3.5417446526,0.0288699263242,0.941398543067
288,000333.XSHE,600111.XSHG,-3.34993909816,0.0482228918207,0.910129565369
289,000333.XSHE,600115.XSHG,-4.35123888065,0.00212750103775,0.943824327127
290,000333.XSHE,600221.XSHG,-3.98420966171,0.00756240298154,0.8989821147
291,000333.XSHE,600398.XSHG,-3.66261687496,0.0204537383807,0.745496741851
292,000333.XSHE,600741.XSHG,-3.3472569972,0.048555612075,0.912310697417
293,000333.XSHE,600977.XSHG,-3.91933016557,0.00932669925639,0.899669149227
294,000333.XSHE,601111.XSHG,-3.47109441557,0.0350452811505,0.90131425459
295,000333.XSHE,601155.XSHG,-3.7190551981,0.0173169782362,0.902558112793
296,000333.XSHE,601198.XSHG,-3.46705702847,0.0354295943957,0.906732242779
297,000333.XSHE,601229.XSHG,-3.64506959388,0.0215248419706,-0.701556139434
298,000333.XSHE,601633.XSHG,-4.21218048217,0.00349577761424,0.944125616413
299,000333.XSHE,601828.XSHG,-3.46703407408,0.0354317895218,0.897623664588
300,000333.XSHE,601919.XSHG,-3.68009554067,0.019433222415,0.947247562752
301,000333.XSHE,603799.XSHG,-3.69179515266,0.0187751885206,0.849100783813
302,000333.XSHE,603833.XSHG,-3.75604820575,0.0154973145133,0.938469083966
303,000333.XSHE,603858.XSHG,-3.58084978673,0.025870158037,0.905621730353
304,000333.XSHE,603993.XSHG,-3.3469957672,0.0485881191434,0.908921594732
305,000338.XSHE,000553.XSHE,-3.97477856679,0.00779862271485,0.613443153861
306,000338.XSHE,000568.XSHE,-4.19657517657,0.00369166079607,0.673012505985
307,000338.XSHE,000858.XSHE,-4.39996587969,0.00177963880994,0.733139169923
308,000338.XSHE,000895.XSHE,-4.91869323235,0.000231639646353,0.761887404116
309,000338.XSHE,002024.XSHE,-4.4341175884,0.00156815425845,0.6851946623
310,000338.XSHE,002304.XSHE,-4.76762680281,0.000430211711293,0.74098449049
311,000338.XSHE,600004.XSHG,-4.02533672255,0.00660591767733,0.628988436034
312,000338.XSHE,600104.XSHG,-4.59718345045,0.000844049332994,0.682872602525
313,000338.XSHE,600519.XSHG,-4.49071095554,0.00126843001899,0.743823553823
314,000338.XSHE,600690.XSHG,-4.21141353382,0.00350517729549,0.681232706765
315,000338.XSHE,600809.XSHG,-4.22201228266,0.00337731122027,0.645240158881
316,000338.XSHE,601021.XSHG,-4.1936967611,0.00372887241229,0.663823024527
317,000338.XSHE,601727.XSHG,-4.50281604714,0.00121168325969,0.660550563416
318,000402.XSHE,000415.XSHE,-3.62232160458,0.0229856152385,0.806359927117
319,000402.XSHE,000630.XSHE,-3.82270521435,0.0126398002613,0.96800752953
320,000402.XSHE,000786.XSHE,-3.50197543267,0.0322206720031,0.880283278323
321,000402.XSHE,000839.XSHE,-3.33945127851,0.0495347142827,0.96533207201
322,000402.XSHE,001979.XSHE,-3.48509394545,0.033739852091,0.909732487644
323,000402.XSHE,002081.XSHE,-3.471759613,0.0349823010185,0.967575618956
324,000402.XSHE,002085.XSHE,-3.73093893479,0.0167129924304,0.952722922068
325,000402.XSHE,002236.XSHE,-3.60404342673,0.024220757047,0.909632047246
326,000402.XSHE,002271.XSHE,-3.93696132343,0.00881397394741,0.928915153474
327,000402.XSHE,002460.XSHE,-4.50706117879,0.00119235055235,0.760337992608
328,000402.XSHE,002466.XSHE,-3.81198543033,0.013065223202,0.805381214187
329,000402.XSHE,002508.XSHE,-3.52593907627,0.0301641852333,0.955749288265
330,000402.XSHE,002558.XSHE,-3.72979445182,0.0167703448184,0.933507966523
331,000402.XSHE,002625.XSHE,-3.76553660269,0.015058604022,0.896900231171
332,000402.XSHE,002797.XSHE,-3.86782436588,0.0109809209014,0.976851997882
333,000402.XSHE,002925.XSHE,-5.25578781158,5.42635104596e-05,0.826595449091
334,000402.XSHE,300124.XSHE,-4.12873383956,0.00466560449525,0.620580611236
335,000402.XSHE,300251.XSHE,-4.59150112625,0.000862830671783,0.904488467313
336,000402.XSHE,300296.XSHE,-3.38915971605,0.0435688403802,0.728117125275
337,000402.XSHE,600018.XSHG,-3.46279146828,0.0358394855744,0.924878400489
338,000402.XSHE,600019.XSHG,-3.52705375271,0.0300713141552,0.790658092006
339,000402.XSHE,600029.XSHG,-5.33054951343,3.88432501246e-05,0.942950838165
